Type,lat,long,Site,Sample.Date,HFPO.DA,N.MeFOSAA,PFBA,PFBS,PFDA,PFDoA,PFDS,PFHpA,PFHpS,PFHxA,PFHxS,PFNA,PFNS,PFOA,PFOS,PFPeA,PFPeS,PFTrDA,PFUdA,HFPO.DA.lab,N.MeFOSAA.lab,PFBA.lab,PFBS.lab,PFDA.lab,PFDoA.lab,PFDS.lab,PFHpA.lab,PFHpS.lab,PFHxA.lab,PFHxS.lab,PFNA.lab,PFNS.lab,PFOA.lab,PFOS.lab,PFPeA.lab,PFPeS.lab,PFTrDA.lab,PFUdA.lab,
Source,36.142932,-81.672783,Blowing Rock Town Pond,8/21/2018,,,,,,,,,,,,,,,,,,,,41,82,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,
Source,36.23912,-81.67036,Boone ASU Lake,8/21/2018,,,,,,,,,,,,,,,,,,,,41,81,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,
Source,36.219191,-81.907021,"Buckeye Lake, Beech Mtn",8/21/2018,,,,,,,,,,,,,,,,,,,,38,76,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,
Source,35.549187,-79.025086,Buckhorn Dam Lake Upstream of Dam,5/1/2018,,,,,,,,,,,,,,,,,,,,39,39,79,39,39,160,39,27,39,39,39,160,160,39,18,21,39,79,79,
Source,35.94955,-79.24155,"Cane Creek Reservoir at Dam nr Oaks, NC",5/3/2018,,,,,,,,,,,,,,,76,,,,,40,40,80,40,40,160,40,24,40,40,20,160,160,37,,40,8.2,80,80,
Source,35.33205,-79.40977,"Carthage City Lake at Dam NR Carthage, NC",6/6/2018,,,,,,,,,,,,,,,,,,,,40,79,40,40,160,40,40,40,40,40,40,40,40,40,40,40,40,40,40,
Source,35.99615,-79.94499,"City Lake, High Point",8/22/2018,,,,,,,,,,,,,,,,,,,,41,82,41,41,41,41,41,41,41,41,41,41,41,41,24,18,41,41,41,
Source,36.05949,-78.83224,Ellerbe Creek @ SR 1636,7/26/2018,,,,,,,,,,,,,,,,,,,,40,80,160,40,80,40,40,40,40,40,40,40,40,40,40,40,40,40,40,
Source,36.07254,-78.8627,Eno River @ SR 1004,7/26/2018,,,,,,,,,,,,,,,,,,,,40,80,160,40,80,40,40,40,40,40,40,40,40,40,40,40,40,40,40,
Source,36.07024,-78.77945,Fall Lake @ I-85 near Northside NC,7/26/2018,,,,,,,,,,,,,,,,,,,,39,78,160,39,78,39,39,39,39,39,39,39,39,39,39,39,39,39,39,
Source,36.00507,-78.64668,Falls Lake @ Channel Marker #6 near Bayleaf NC,7/26/2018,,,,,,,,,,,,,,,,,,,,40,80,160,40,80,40,40,40,40,40,40,40,40,40,40,40,40,40,40,
Source,35.95591,-78.58444,Falls Lake @ Marker #1 near Bayleaf NC,7/26/2018,,,,,,,,,,,,,,,,,,,,39,79,160,39,79,39,39,39,39,39,39,39,39,39,39,39,39,39,39,
