lat,long,Site,Sample.Date,PFBA,PFBS,PFDS,PFDA,PFDoA,PFHpS,PFHpA,PFHxS,PFHxA,PFNS,PFNA,PFOSA,N-EtFOSAA,N-MeFOSAA,PFPeS,PFPeA,PFTeA,PFTriA,PFUnA,HFPO-DA,PFOA,PFOS,PFBA.lab,PFBS.lab,PFDS.lab,PFDA.lab,PFDoA.lab,PFHpS.lab,PFHpA.lab,PFHxS.lab,PFHxA.lab,PFNS.lab,PFNA.lab,PFOSA.lab,N-EtFOSAA.lab,N-MeFOSAA.lab,PFPeS.lab,PFPeA.lab,PFTeA.lab,PFTriA.lab,PFUnA.lab,HFPO-DA.lab,PFOA.lab,PFOS.lab,sum_pfas,sum_pfoa.pfos
35.67154993,-78.94119022,Cary.Western.Wake.Regional.Water.Reclamation.Facility,8/13/2019,,,,,,,,,,,,,,,,,,,,,,,380,95,95,95,95,95,95,95,95,95,95,95,95,110,95,95,95,95,95,,95,95,0,0
35.80812458,-79.78271331,City.of.Randleman,8/14/2019,,,,,,,2.94,,8.56,,0.846,,,,,,0.255,,,,5.52,,1.38,1.38,1.38,1.38,1.38,1.38,,1.38,,1.38,,1.38,1.38,1.38,1.38,1.38,,1.38,1.38,48.22,,1.38,18.121,5.52
34.55726739,-77.92518487,Town.of.Burgaw.Collection.System,8/8/2019,,1.86,,,,,0.701,,18.9,,,,,,,,,,,,1.45,4.08,8.96,,1.74,1.79,1.79,1.7,,1.63,,1.72,1.79,8.33,3.58,17.9,1.68,1.79,8.96,8.96,8.96,,,,26.991,5.53
35.72833511,-79.42704286,Siler.City.Waste.Water.Treatment.Plant,8/6/2019,,,,,,,0.717,,5.89,,,,,,,13,,,,,4.02,3.84,10.1,10.1,10.1,10.1,10.1,10.1,,10.1,,10.1,10.1,10.1,10.1,10.1,10.1,,10.1,10.1,10.1,,,,27.467,7.86
35.00515516,-78.34442384,Cit.of.Clinton-Norman.H.Larkins.WWTP,8/7/2019,,2.6,,,,,1.24,,8.47,,,,,,,12.2,,,,,2.46,2.54,10.1,,1.97,2.03,2.03,1.93,,1.84,,2.03,2.03,1.88,4.05,4.05,1.91,,10.1,10.1,2.03,,,,29.51,5
34.73817439,-77.99263394,Wallace.Regional.WWTP,8/12/2019,,2.15,,,,,0.883,,20.7,,1.04,,,,,,,,,,2.96,9.61,2.53,,2.45,2.53,2.53,2.4,,2.3,,2.42,,11.7,25.3,5.05,2.37,2.53,12.6,12.6,2.53,,,,37.343,12.57
35.76613469,-79.78579884,City.of.Asheboro.WWTP,8/8/2019,,,,,,,,,13.5,,,,,,,,,,,,10.6,18.8,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,354.62,,,42.9,29.4
36.04983302,-79.37369128,City.of.Graham,8/22/2019,,,,1.44,0.726,,4.28,0.144,11.8,,1.62,,,,,,2.82,2.02,,,8.97,12.8,1.25,1.25,1.25,,,1.25,,,,1.25,,1.25,1.25,1.25,1.25,1.25,,,1.25,43.8,,,46.62,21.77
34.27175034,-78.0055035,Northeast.Brunswick.Regional,8/8/2019,,,,1.8,0.196,,8.15,,19.9,,0.871,,,,,,,,,,10,11.3,1.41,1.41,1.41,,,1.41,,1.41,,1.41,,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,49.31,,,52.217,21.3
34.26246994,-77.92142112,Wilmington-James.A.Loughlin(Northside).WWTP,8/5/2019,,6.23,,0.973,,,4.96,3.69,14.2,,0.861,,,,,15.9,,,,,7.46,9.29,9.37,,1.82,,1.87,1.78,,,,1.8,,8.71,3.75,18.7,1.76,,9.37,9.37,1.87,,,,63.564,16.75
34.16600449,-77.94528851,Wilmington-M'Kean.Maffitt(Southside).WWTP,8/5/2019,,6.4,,,,,5.89,3.6,14.8,,0.952,,,,,17.3,,,,,6.5,8.53,1.89,,1.83,1.89,1.89,1.79,,,,1.81,,8.77,3.77,18.9,1.77,,9.43,9.43,1.89,,,,63.972,15.03
36.08862094,-79.28544925,City.of.Mebane.WWTP,8/13/2019,,,,7.64,,,7.73,,29.4,,,,,,,,,,,,24.3,6.97,5.38,5.38,5.38,,5.38,5.38,,5.38,,5.38,5.38,5.38,5.38,5.38,5.38,5.38,5.38,5.38,5.38,,,,76.04,31.27
35.8802467,-78.8932025,Durham.County.Triangle.Wastewater.Treatment.Plant,8/5/2019,50.2,,2.62,,,,1.34,,7.63,,,,0.964,,,,1.45,1.98,,,5.74,7.19,,,10.8,,10.8,10.8,10.8,,10.8,,10.8,10.8,10.8,,10.8,10.8,10.8,,,10.8,,,79.114,12.93
34.81715622,-78.00565245,Town.of.Rose.Hill.WWTP,8/14/2019,8.37,2.6,,,,,40.7,2,10.4,,2.08,,,,,6.1,,,,,6,11,,,2.58,2.66,2.66,2.53,,,,2.55,,2.47,5.32,5.32,2.5,,13.3,13.3,2.66,,,,89.25,17
35.94262001,-79.90908086,City.of.High.Point.Eastside.WWTP,8/13/2019,,,,,,,,13.4,,,,,,,60.8,,,,,,,15.4,,10.8,10.8,10.8,10.8,10.8,,10.8,,10.8,10.8,10.8,10.8,10.8,10.8,,10.8,10.8,10.8,,10.8,,89.6,15.4
35.64598133,-78.85109368,Town.of.Holly.Springs,8/13/2019,,,,,,21,,27,,,,21,,,,,,,,,10,12,8.2,7.2,7.9,8.2,8.2,,7.7,,8.2,16,16,,8.2,8.2,8.2,16,16,8.2,8.2,,,,91,22
35.05953494,-78.86003082,Fayetteville-Cross.Creek.WWTP,8/27/2019,1.58,4.32,,0.51,,0.36,8.13,12.85,15.6,,0.65,,,,0.95,20.65,,,,,9.21,22.3,,,11.3,,11.3,,,,,11.3,,11.3,11.3,11.3,,,11.3,11.3,11.3,,,,97.11,31.51
