lat,long,Site,Sample.Date,PFBA,PFBS,PFDS,PFDA,PFDoA,PFHpS,PFHpA,PFHxS,PFHxA,PFNS,PFNA,PFOSA,N-EtFOSAA,N-MeFOSAA,PFPeS,PFPeA,PFTeA,PFTriA,PFUnA,HFPO-DA,PFOA,PFOS,PFBA.lab,PFBS.lab,PFDS.lab,PFDA.lab,PFDoA.lab,PFHpS.lab,PFHpA.lab,PFHxS.lab,PFHxA.lab,PFNS.lab,PFNA.lab,PFOSA.lab,N-EtFOSAA.lab,N-MeFOSAA.lab,PFPeS.lab,PFPeA.lab,PFTeA.lab,PFTriA.lab,PFUnA.lab,HFPO-DA.lab,PFOA.lab,PFOS.lab,sum_pfas,sum_pfoa.pfos
34.97691246,-79.1947716,City.of.Raeford,7/15/2019,,,,,,,,,,,,,,,,,,,,,,,U (<240.0),U (<120.0),U (<120.0),U (<120.0),U (<120.0),U (<120.0),U (<120.0),U (<120.0),U (<120.0),U (<120.0),U (<120.0),U (<120.0),U (<590.0),U (<590.0),U (<120.0),U (<120.0),U (<120.0),U (<120.0),U (<240.0),U (<240.0),U (<120.0),U (<120.0),0,0
34.55726739,-77.92518487,Town.of.Burgaw.Collection.System,7/26/2019,,1.66,,0.766,,,0.701,0.782,4.64,,0.926,,3.7,,,,,,,,1.14,2.3,U (<1.84),,U (<1.78),J,U (<1.84),U (<1.74),J,J,,U (<1.76),J,U (<1.71),,U (<3.67),U (<1.73),U (<1.84),U (<9.18),U (<9.18),U (<1.84),J,,,16.615,3.44
35.00515516,-78.34442384,Cit.of.Clinton-Norman.H.Larkins.WWTP,7/11/2019,,1.12,,,,,1.17,,10.7,,,,,,,5.42,,,,,2.19,2.29,U (<9.17),J,U (<1.78),U (<1.83),U (<1.83),U (<1.74),J,U (<1.67),,U (<1.76),U (<1.83),U (<1.71),U (<3.67),U (<3.67),U (<1.72),,U (<9.17),U (<9.17),U (<1.83),,,,22.89,4.48
34.81715622,-78.00565245,Town.of.Rose.Hill.WWTP,7/22/2019,,,,,,,2.24,,8.01,,0.91,,,,,7.86,,,,,2.82,6.06,U (<8.49),U (<7.56),,U (<1.70),,,,U (<1.55),,,J,,,,,,,,,,,,27.9,8.88
34.73817439,-77.99263394,Wallace.Regional.WWTP,7/11/2019,3.41,3.22,,0.789,,,1.03,0.808,6.9,,,,,1.18,1.05,6.26,,,,,2.96,4.78,,,U (<1.71),J,U (<1.77),U (<1.68),J,J,,U (<1.70),U (<1.77),U (<1.64),U (<1.17),J,J,,U (<8.83),U (<8.83),U (<1.77),,,,32.387,7.74
35.80812458,-79.78271331,City.of.Randleman,7/24/2019,,,,0.661,,,3.12,6.07,8.36,,1.04,,,,,,,,,,5.7,7.54,U (<0.222),U (<0.222),U (<0.222),,U (<0.222),U (<0.222),,,,U (<0.222),,U (<0.337),U (<0.222),U (<0.222),U (<0.222),U (<0.222),U (<0.222),U (<0.222),U (<0.222),,,,32.491,13.24
35.72833511,-79.42704286,Siler.City.Waste.Water.Treatment.Plant,7/8/2019,,,,,,,2.1,2,9.94,,,,,,,14.5,,,,,5.49,5.66,U (<2.52),U (<2.52),U (<2.52),U (<2.52),U (<2.52),U (<2.52),J,J,B,U (<2.52),U (<2.52),U (<2.56),U (<2.52),U (<2.52),U (<2.52),B,U (<2.52),U (<2.52),U (<2.52),,,,39.69,11.15
35.90402079,-78.97846588,City.of.Durham-South.Durham.Water.Reclamation,7/8/2019,,,,,,,5.45,,15.8,,1.72,,,,,,,,,,10.7,14.9,U (<1.23),U (<1.23),U (<1.23),U (<1.23),U (<1.23),U (<1.23),,U (<1.23),B,U (<1.23),,U (<1.25),U (<1.23),U (<1.23),U (<1.23),U (<1.23),U (<1.23),U (<1.23),U (<1.23),U (<43.07),,,48.57,25.6
35.64598133,-78.85109368,Town.of.Holly.Springs,7/24/2019,,,,,,13,,19,,,,19,,,,,,,,,,,U (<10),U (<9.2),D (<200),D (<210),D (<210),,U (<9.8),,D (<210),D (<420),D (<420),,D (<210),D (<210),D (<210),D (<21),D (<21),D (<210),D (<210),U (<10),U (<10),,51,0
35.67154993,-78.94119022,Cary.Western.Wake.Regional.Water.Reclamation.Facility,7/9/2019,15,,,1.1,,,3.6,,15,,0.41,,,,,15,,,,,4.4,,U (<1.1),U (<2.4),J,<1.2,<1.1,,<1.1,B,<2.4,J,<3.0,<2.5,<2.5,<1.1,,<1.2,<1.2,<1.2,,,,U (<1.2),54.51,4.4
35.72183182,-79.65364379,Town.of.Ramseur.WWTP,7/8/2019,,,,0.586,,,1.24,,6.97,,0.782,,,,,41.8,0.761,,,,2.93,6.52,U (<0.311),U (<0.311),U (<0.311),,U (<0.311),U (<0.311),,U (<0.311),,U (<0.31),,U (<0.316),U (<0.311),U (<0.311),U (<0.311),,,U (<0.311),U (<0.311),U (<10.90),,,61.589,9.45
34.16600449,-77.94528851,Wilmington-M'Kean.Maffitt(Southside).WWTP,7/9/2019,4.28,6.83,,,,,4.8,3.41,13,,0.683,,,,,15.1,,,,,4.89,13.4,,,U (<1.69),U (<1.74),U (<1.74),U (<1.65),,,,U (<1.67),J,U (<1.62),U (<3.47),U (<17.4),U (<1.63),,U (<8.69),U (<8.69),U (<1.74),,,,66.393,18.29
36.08862094,-79.28544925,City.of.Mebane.WWTP,7/9/2019,,,,5.16,,,5.84,,28,,,,,,,,,,,,17.4,11.4,U (<2.70),U (<2.70),U (<2.70),,U (<2.70),U (<2.70),,U (<2.70),B,U (<2.70),U (<2.70),U (<2.74),U (<2.70),U (<2.70),U (<2.70),U (<2.70),U (<2.70),U (<2.70),U (<2.70),,,,67.8,28.8
35.76613469,-79.78579884,City.of.Asheboro.WWTP,7/10/2019,,,,,,,4.62,,8.74,,,,,,,25.8,,,,,9.47,19.8,U (<2.54),U (<2.54),U (<2.54),U (<2.54),U (<2.54),U (<2.54),,U (<2.54),B,U (<2.54),U (<2.54),U (<2.57),U (<2.54),U (<2.54),U (<2.54),,U (<2.54),U (<2.54),U (<2.54),,,,68.43,29.27
35.8802467,-78.8932025,Durham.County.Triangle.Wastewater.Treatment.Plant,7/8/2019,,,,1.87,,,3.4,,10.7,,1.42,,,,,36.4,,,,7.72,11,,U (<2.88),U (<2.88),U (<2.88),J,U (<2.88),U (<2.88),,U (<2.88),B,U (<2.88),J,U (<2.92),U (<2.88),U (<2.88),U (<2.88),,U (<2.88),U (<2.88),U (<2.88),,,,72.51,11
34.26246994,-77.92142112,Wilmington-James.A.Loughlin(Northside).WWTP,7/9/2019,4.22,12.3,,1.28,,,4.79,3.78,14,,1.27,,,,,15.6,,,,,6.61,8.83,,,U (<1.73),J,U (<1.79),U (<1.70),,,,U (<1.71),J,U (<1.66),U (<1.68),U (<17.9),U (<1.68),,U (<8.93),U (<8.93),U (<1.79),,,,72.68,15.44
36.04983302,-79.37369128,City.of.Graham,7/23/2019,,,,1.25,,,,,,,1.77,,,,,65.6,,,,,6.5,,U (<0.233),U (<1.40),U (<0.233),,U (<0.233),U (<0.233),U (<0.233),U (<0.233),U (<0.233),U (<0.233),,U (<0.355),U (<0.233),U (<0.233),U (<0.233),,,U (<0.233),U (<0.233),U (<8.16),,U (<0.233),75.12,6.5
36.02454813,-79.36944141,South.Burlington.WWTP,7/16/2019,,,,,,,4.62,,13.9,,,,,,,35.6,,,,,13.2,20.2,U (<2.75),U (<2.75),U (<2.75),U (<2.75),U (<2.75),U (<2.75),,U (<2.75),B,U (<2.75),U (<2.75),U (<2.75),U (<2.75),U (<2.75),U (<2.75),,U (<2.75),U (<2.75),U (<2.75),,,,87.52,33.4
