Type,lat,long,Site,Sample.Date,PFBA,PFBS,PFDS,PFDA,PFDoA,PFHpS,PFHpA,PFHxS,PFHxA,PFNS,PFNA,PFOSA,N-EtFOSAA,N-MeFOSAA,PFPeS,PFPeA,PFTeA,PFTriA,PFUnA,HFPO-DA,PFOA,PFOS,PFBA.lab,PFBS.lab,PFDS.lab,PFDA.lab,PFDoA.lab,PFHpS.lab,PFHpA.lab,PFHxS.lab,PFHxA.lab,PFNS.lab,PFNA.lab,PFOSA.lab,N-EtFOSAA.lab,N-MeFOSAA.lab,PFPeS.lab,PFPeA.lab,PFTeA.lab,PFTriA.lab,PFUnA.lab,HFPO-DA.lab,PFOA.lab,PFOS.lab,sum_pfas,sum_pfoa.pfos
WWTP,34.81715622,-78.00565245,Town.of.Rose.Hill.WWTP,9/18/2019,,,,0.3,0.252,,1.56,,,,0.351,,,0.274,,,0.408,0.218,,,4.36,8.74,0.242,0.242,0.242,,,0.242,,0.242,0.242,0.24,,0.365,0.242,,0.242,0.242,,,0.242,,,,16.463,13.1
WWTP,34.55726739,-77.92518487,Town.of.Burgaw.Collection.System,9/17/2019,,,,,1.4,,,,,,0.802,,,,,,1.45,,,,3.95,9.29,0.244,0.244,0.244,0.244,,0.244,0.244,0.244,0.244,0.24,,0.369,0.244,0.244,0.244,0.244,,0.244,0.244,,,,16.892,13.24
WWTP,35.72833511,-79.42704286,Siler.City.Waste.Water.Treatment.Plant,9/8/2019,,,,,,,2.05,1.46,6.15,,,,,,,,,,,,3.71,3.89,1.68,1.68,1.68,1.68,1.68,1.68,,,,1.68,1.68,2.53,1.68,1.68,1.68,1.68,1.68,1.68,1.68,,,,17.26,7.6
WWTP,36.04983302,-79.37369128,City.of.Graham,9/18/2019,,,,2.14,,,,,0.822,,2.46,,,,,,,0.776,,,8.37,9.59,0.21,0.21,0.21,,0.21,0.21,0.21,0.21,,0.21,,0.317,0.21,0.21,0.21,0.21,0.21,,0.21,7.33,,,24.158,17.96
WWTP,35.67154993,-78.94119022,Cary.Western.Wake.Regional.Water.Reclamation.Facility,9/4/2019,,,,,,,,,14,,,,,,,18,,,,,,,39,9.7,9.7,9.7,9.7,9.7,9.7,9.7,,9.7,9.7,9.7,9.7,12,9.7,,9.7,9.7,9.7,,9.7,9.7,32,0
WWTP,36.09382721,-79.37771112,East.Burlington.WWTP,9/17/2019,,,,,,,5.39,5.1,8,,,,,,,,,,,,10.8,12.5,1.75,1.75,1.75,1.75,1.75,1.75,,,,1.75,1.75,2.65,1.75,1.75,1.75,1.75,1.75,1.75,1.75,,,,41.79,23.3
WWTP,34.27175034,-78.0055035,Northeast.Brunswick.Regional,9/3/2019,,,,3.27,1.02,,18.8,,29.5,,1.13,,,,,,0.639,,,,11.2,,1.34,1.34,1.34,,,1.34,,1.34,,1.34,,1.34,1.34,1.34,1.34,1.34,,1.34,1.34,46.8,,1.34,65.559,11.2
WWTP,35.8802467,-78.8932025,Durham.County.Triangle.Wastewater.Treatment.Plant,9/9/2019,44.8,,,,,,1.99,,5.73,,0.728,,,,,,,,,,5.92,6.89,,1.89,1.89,1.89,1.89,1.89,,1.89,,1.89,,2.86,1.89,1.89,1.89,1.89,1.89,1.89,1.89,,,,66.058,12.81
WWTP,36.30801981,-79.51739008,City.of.Reidsville,9/11/2019,,,,5.16,,,10.6,,41.1,,2.27,,,,,,,,,,16.7,11.3,1.69,1.69,1.69,,1.69,1.69,,1.69,,1.69,,2.56,1.69,1.69,1.69,1.69,1.69,1.69,1.69,,,,87.13,28
WWTP,34.16600449,-77.94528851,Wilmington-M'Kean.Maffitt(Southside).WWTP,9/9/2019,15,9.18,,,,,7.68,4.17,14,,1.09,,,,,18.4,,,,,6.98,11.8,,,1.72,1.77,1.77,1.68,,,,1.7,,1.65,3.54,17.7,1.67,,8.86,1.77,1.77,,,,88.3,18.78
WWTP,34.96435311,-78.83344791,Fayetteville-Rockfish.Creek.WWTP,9/17/2019,5.75,3.79,,1.15,,,11.35,6.33,20.2,,0.57,,,,0.76,24,,,,,8.11,7.7,,,1.76,,1.82,1.72,,,,1.74,,1.69,3.63,36.3,,,18.2,18.2,1.82,,,,89.71,15.81
WWTP,35.94262001,-79.90908086,City.of.High.Point.Eastside.WWTP,9/16/2019,,,,,,,3.7,9.16,10.8,,,,,,,55,,,,,6.8,12.1,1.7,1.7,1.7,1.7,,,,,,1.7,1.7,2.57,1.7,1.7,1.7,,1.7,1.7,1.7,,,,97.56,18.9
WWTP,34.26246994,-77.92142112,Wilmington-James.A.Loughlin(Northside).WWTP,9/9/2019,9.73,11,,1.64,,,7.69,4.31,17.6,,2.04,,,,,20.3,,,,,10.9,19.3,,,1.8,,1.86,1.76,,,,1.78,,1.73,3.72,,1.75,,9.29,1.86,1.86,,,,104.51,30.2
WWTP,35.76613469,-79.78579884,City.of.Asheboro.WWTP,9/5/2019,,,24.4,4.51,7.07,2.03,5.95,,12.4,2.19,3.87,,4.09,,,,11.4,7.15,5.04,,11.7,19.2,1.7,1.7,,,,,,1.7,,,,2.57,,1.7,1.7,1.7,,,,,,,121,30.9
WWTP,35.64598133,-78.85109368,Town.of.Holly.Springs,9/11/2019,8,6,4.9,,,,27,,37,,,,,,,31,,,,,10,7.6,,,,5.1,5.1,,4.8,,5.1,10,10,,5.1,5.1,5.1,10,10,5.1,5.1,,,,131.5,17.6
WWTP,35.80812458,-79.78271331,City.of.Randleman,9/18/2019,,,,0.375,,,3.79,,9.82,,1.5,,,,,96,,,,,7.05,14.7,0.212,0.212,0.212,,0.212,0.212,,0.212,,0.212,,0.32,0.212,0.212,0.212,,0.212,0.212,0.212,7.42,,,133.235,21.75
WWTP,35.00515516,-78.34442384,Cit.of.Clinton-Norman.H.Larkins.WWTP,9/9/2019,,,,0.452,,,4.01,,9.21,,0.503,,,,,115,,,,,4.07,10.2,1.34,1.34,1.34,,1.34,1.34,,1.34,,1.34,,1.34,1.34,1.34,1.34,,1.34,1.34,1.34,,,,143.445,14.27
WWTP,36.09864301,-79.68893648,Greensboro-TZ.Osborne.WRF,9/17/2019,13,25,,0.8,,,7.4,15.3,18,,,,,,,20,,,,,14.9,47.1,,,7.1,,7.4,1.7,,,,1.7,7.4,2.57,15,15,1.7,,7.4,7.4,7.4,,,,161.5,62
WWTP,35.05953494,-78.86003082,Fayetteville-Cross.Creek.WWTP,9/17/2019,12.5,4.3,,1.72,0.05,0.44,14.65,20.15,35.25,,1.67,,,,1.04,26.55,,,,,17.1,28.3,,,1.69,,,,,,,1.67,,1.62,3.48,3.48,,,17.4,17.4,1.74,,,,163.72,45.4
WWTP,36.02454813,-79.36944141,South.Burlington.WWTP,9/17/2019,,,,4.7,,,24.7,8.92,73.1,,6.64,,,,,,,,,,29.7,23.7,1.82,1.82,1.82,,1.82,1.82,,,,1.82,,2.74,1.82,1.82,1.82,1.82,1.82,1.82,1.82,,,,171.46,53.4
WWTP,35.90402079,-78.97846588,City.of.Durham-South.Durham.Water.Reclamation,9/9/2019,,,,,,,,,,,,,,,,205,,,,,5.86,8.44,4.87,4.87,4.87,0.422,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,,4.87,4.87,4.87,,,,219.3,14.3
WWTP,35.40727843,-78.8203801,North.Harnett.Regional,9/4/2019,13.2,,,0.24,,,29.9,,36.2,,0.94,,,,,139,,,,,7.9,12.6,,1.28,1.28,,1.28,1.28,,1.28,,1.28,,1.28,1.28,1.28,1.28,,1.28,1.28,1.28,44.91,,,239.98,20.5
WWTP,34.97691246,-79.1947716,City.of.Raeford,9/16/2019,,80.4,,0,,,4.44,61.8,13.2,,,,,,4.67,10.3,,,,,,124,17,,170,,420,170,,,,170,170,170,830,830,,,170,170,170,,170,,298.81,124
WWTP,34.73817439,-77.99263394,Wallace.Regional.WWTP,9/18/2019,,,,,,,2.48,,6.77,,0.506,,,,,299,,,,,4.9,11.6,0.239,0.239,0.239,0.239,0.239,0.239,,0.239,,0.24,,0.362,0.239,0.239,0.239,,0.239,0.239,0.239,,,,325.256,16.5
WWTP,35.72183182,-79.65364379,Town.of.Ramseur.WWTP,9/4/2019,,,,,,,,,4.64,,,,,,,313,,,,,1.96,8.06,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,,1.24,1.24,1.24,1.24,1.24,1.24,,1.24,1.24,1.24,43.3,,,327.66,10.02
WWTP,36.08862094,-79.28544925,City.of.Mebane.WWTP,9/10/2019,,,,,,,6.86,,28,,,,,,,284,,,,,17.1,14.6,5.31,5.31,5.31,5.31,5.31,5.31,,5.31,,5.31,5.31,5.31,5.31,5.31,5.31,,5.31,5.31,5.31,,,,350.56,31.7
WWTP,35.54719755,-79.21987282,Sanford-Big.Buffalo.Creek.WWTP,9/4/2019,,,,,,16.6,122,21.3,61.8,,2.07,,,,,130,,,,,11,1000,1.3,1.3,1.3,1.3,1.3,,,,,1.3,,1.3,1.3,1.3,1.3,,1.3,1.3,1.3,45.6,,,1364.77,1011
