Type,Site,Analyte,Sample.Date,ppt,lab.qual,limit
WWTP,Northeast.Brunswick.Regional,PFBA,7/8/2019,10.6,,
WWTP,Northeast.Brunswick.Regional,PFBS,7/8/2019,,U,0.323
WWTP,Northeast.Brunswick.Regional,PFDS,7/8/2019,,U,0.323
WWTP,Northeast.Brunswick.Regional,PFDA,7/8/2019,2.45,,
WWTP,Northeast.Brunswick.Regional,PFDoA,7/8/2019,,U,0.323
WWTP,Northeast.Brunswick.Regional,PFHpS,7/8/2019,,U,0.323
WWTP,Northeast.Brunswick.Regional,PFHpA,7/8/2019,11.7,,
WWTP,Northeast.Brunswick.Regional,PFHxS,7/8/2019,,U,0.323
WWTP,Northeast.Brunswick.Regional,PFHxA,7/8/2019,27.9,,
WWTP,Northeast.Brunswick.Regional,PFNS,7/8/2019,,U,0.323
WWTP,Northeast.Brunswick.Regional,PFNA,7/8/2019,1.69,,
WWTP,Northeast.Brunswick.Regional,PFOSA,7/8/2019,,U,0.323
WWTP,Northeast.Brunswick.Regional,N-EtFOSAA,7/8/2019,,U,0.323
WWTP,Northeast.Brunswick.Regional,N-MeFOSAA,7/8/2019,,U,0.323
WWTP,Northeast.Brunswick.Regional,PFPeS,7/8/2019,,U,0.323
WWTP,Northeast.Brunswick.Regional,PFPeA,7/8/2019,77.8,,
WWTP,Northeast.Brunswick.Regional,PFTeA,7/8/2019,1.13,,
WWTP,Northeast.Brunswick.Regional,PFTriA,7/8/2019,0.155,JB,
WWTP,Northeast.Brunswick.Regional,PFUnA,7/8/2019,,U,0.323
WWTP,Northeast.Brunswick.Regional,HFPO-DA,7/8/2019,,U,11.3
WWTP,Northeast.Brunswick.Regional,4:2 FTS,7/8/2019,,U,0.323
WWTP,Northeast.Brunswick.Regional,6:2 FTS,7/8/2019,0.944,B,
WWTP,Northeast.Brunswick.Regional,8:2 FTS,7/8/2019,1.67,B,
WWTP,Northeast.Brunswick.Regional,PFOA,7/8/2019,12.9,,
WWTP,Northeast.Brunswick.Regional,PFOS,7/8/2019,14.8,,
WWTP,Northeast.Brunswick.Regional,Sum(PFOA+PFOS),7/8/2019,27.7,,
WWTP,Northeast.Brunswick.Regional,Total.PFAS,7/8/2019,163.739,,
WWTP,City.of.Durham-South.Durham.Water.Reclamation,PFBA,7/8/2019,,U,1.23
WWTP,City.of.Durham-South.Durham.Water.Reclamation,PFBS,7/8/2019,,U,1.23
WWTP,City.of.Durham-South.Durham.Water.Reclamation,PFDS,7/8/2019,,U,1.23
WWTP,City.of.Durham-South.Durham.Water.Reclamation,PFDA,7/8/2019,,U,1.23
WWTP,City.of.Durham-South.Durham.Water.Reclamation,PFDoA,7/8/2019,,U,1.23
WWTP,City.of.Durham-South.Durham.Water.Reclamation,PFHpS,7/8/2019,,U,1.23
WWTP,City.of.Durham-South.Durham.Water.Reclamation,PFHpA,7/8/2019,5.45,,
WWTP,City.of.Durham-South.Durham.Water.Reclamation,PFHxS,7/8/2019,,U,1.23
WWTP,City.of.Durham-South.Durham.Water.Reclamation,PFHxA,7/8/2019,15.8,B,
WWTP,City.of.Durham-South.Durham.Water.Reclamation,PFNS,7/8/2019,,U,1.23
WWTP,City.of.Durham-South.Durham.Water.Reclamation,PFNA,7/8/2019,1.72,,
WWTP,City.of.Durham-South.Durham.Water.Reclamation,PFOSA,7/8/2019,,U,1.25
WWTP,City.of.Durham-South.Durham.Water.Reclamation,N-EtFOSAA,7/8/2019,,U,1.23
WWTP,City.of.Durham-South.Durham.Water.Reclamation,N-MeFOSAA,7/8/2019,,U,1.23
WWTP,City.of.Durham-South.Durham.Water.Reclamation,PFPeS,7/8/2019,,U,1.23
WWTP,City.of.Durham-South.Durham.Water.Reclamation,PFPeA,7/8/2019,,U,1.23
WWTP,City.of.Durham-South.Durham.Water.Reclamation,PFTeA,7/8/2019,,U,1.23
WWTP,City.of.Durham-South.Durham.Water.Reclamation,PFTriA,7/8/2019,,U,1.23
WWTP,City.of.Durham-South.Durham.Water.Reclamation,PFUnA,7/8/2019,,U,1.23
WWTP,City.of.Durham-South.Durham.Water.Reclamation,HFPO-DA,7/8/2019,,U,43.07
WWTP,City.of.Durham-South.Durham.Water.Reclamation,PFOA,7/8/2019,10.7,,
WWTP,City.of.Durham-South.Durham.Water.Reclamation,PFOS,7/8/2019,14.9,,
WWTP,City.of.Durham-South.Durham.Water.Reclamation,Sum(PFOA+PFOS),7/8/2019,25.6,,
WWTP,City.of.Durham-South.Durham.Water.Reclamation,Total.PFAS,7/8/2019,48.57,,
WWTP,Durham.County.Triangle.Wastewater.Treatment.Plant,PFBA,7/8/2019,,U,2.88
WWTP,Durham.County.Triangle.Wastewater.Treatment.Plant,PFBS,7/8/2019,,U,2.88
WWTP,Durham.County.Triangle.Wastewater.Treatment.Plant,PFDS,7/8/2019,,U,2.88
WWTP,Durham.County.Triangle.Wastewater.Treatment.Plant,PFDA,7/8/2019,1.87,J,
WWTP,Durham.County.Triangle.Wastewater.Treatment.Plant,PFDoA,7/8/2019,,U,2.88
WWTP,Durham.County.Triangle.Wastewater.Treatment.Plant,PFHpS,7/8/2019,,U,2.88
WWTP,Durham.County.Triangle.Wastewater.Treatment.Plant,PFHpA,7/8/2019,3.4,,
WWTP,Durham.County.Triangle.Wastewater.Treatment.Plant,PFHxS,7/8/2019,,U,2.88
WWTP,Durham.County.Triangle.Wastewater.Treatment.Plant,PFHxA,7/8/2019,10.7,B,
WWTP,Durham.County.Triangle.Wastewater.Treatment.Plant,PFNS,7/8/2019,,U,2.88
WWTP,Durham.County.Triangle.Wastewater.Treatment.Plant,PFNA,7/8/2019,1.42,J,
WWTP,Durham.County.Triangle.Wastewater.Treatment.Plant,PFOSA,7/8/2019,,U,2.92
WWTP,Durham.County.Triangle.Wastewater.Treatment.Plant,N-EtFOSAA,7/8/2019,,U,2.88
WWTP,Durham.County.Triangle.Wastewater.Treatment.Plant,N-MeFOSAA,7/8/2019,,U,2.88
WWTP,Durham.County.Triangle.Wastewater.Treatment.Plant,PFPeS,7/8/2019,,U,2.88
WWTP,Durham.County.Triangle.Wastewater.Treatment.Plant,PFPeA,7/8/2019,36.4,,
WWTP,Durham.County.Triangle.Wastewater.Treatment.Plant,PFTeA,7/8/2019,,U,2.88
WWTP,Durham.County.Triangle.Wastewater.Treatment.Plant,PFTriA,7/8/2019,,U,2.88
WWTP,Durham.County.Triangle.Wastewater.Treatment.Plant,PFUnA,7/8/2019,,U,2.88
WWTP,Durham.County.Triangle.Wastewater.Treatment.Plant,PFOA,7/8/2019,7.72,,
WWTP,Durham.County.Triangle.Wastewater.Treatment.Plant,PFOS,7/8/2019,11,,
WWTP,Durham.County.Triangle.Wastewater.Treatment.Plant,Sum(PFOA+PFOS),7/8/2019,18.72,,
WWTP,Durham.County.Triangle.Wastewater.Treatment.Plant,Total.PFAS,7/8/2019,72.51,,
WWTP,Greensboro-TZ.Osborne.WRF,PFBA,7/8/2019,3.1,,
WWTP,Greensboro-TZ.Osborne.WRF,PFBS,7/8/2019,2.5,,
WWTP,Greensboro-TZ.Osborne.WRF,PFDS,7/8/2019,,U,2.56
WWTP,Greensboro-TZ.Osborne.WRF,PFDA,7/8/2019,2.9,,
WWTP,Greensboro-TZ.Osborne.WRF,PFDoA,7/8/2019,,U,2.56
WWTP,Greensboro-TZ.Osborne.WRF,PFHpS,7/8/2019,,U,2.56
WWTP,Greensboro-TZ.Osborne.WRF,PFHpA,7/8/2019,6.5,,
WWTP,Greensboro-TZ.Osborne.WRF,PFHxS,7/8/2019,9.4,,
WWTP,Greensboro-TZ.Osborne.WRF,PFHxA,7/8/2019,24.7,,
WWTP,Greensboro-TZ.Osborne.WRF,PFNS,7/8/2019,,U,2.56
WWTP,Greensboro-TZ.Osborne.WRF,PFNA,7/8/2019,,U,4.1
WWTP,Greensboro-TZ.Osborne.WRF,PFOSA,7/8/2019,,U,2.56
WWTP,Greensboro-TZ.Osborne.WRF,N-EtFOSAA,7/8/2019,,U,4.1
WWTP,Greensboro-TZ.Osborne.WRF,N-MeFOSAA,7/8/2019,,U,4.1
WWTP,Greensboro-TZ.Osborne.WRF,PFPeS,7/8/2019,,U,2.56
WWTP,Greensboro-TZ.Osborne.WRF,PFPeA,7/8/2019,22,,
WWTP,Greensboro-TZ.Osborne.WRF,PFTeA,7/8/2019,,U,2.56
