"Site","Sample.Date","Analyte","ppt","lab.qual","chain.length","lat","long"
"MORGANCRKATSR1726NRFARRINGTON",2018-05-09,"6.2",NA,310,"short",NA,NA
"MORGANCRKATSR1726NRFARRINGTON",2018-05-09,"PFUnA",NA,310,"long",NA,NA
"JORDANLAKEATMOUTHOFMORGANCKNRFARRINGTON",2018-05-09,"6.2",NA,310,"short",NA,NA
"JORDANLAKEATMOUTHOFMORGANCKNRFARRINGTON",2018-05-09,"PFUnA",NA,310,"long",NA,NA
"HAWRIVATSR1713NRBYNUM",2018-05-09,"6.2",NA,300,"short",NA,NA
"HAWRIVATSR1713NRBYNUM",2018-05-09,"PFUnA",NA,300,"long",NA,NA
"NEWHOPECRKATSR1107NRBLANDS",2018-05-09,"6.2",NA,300,"short",NA,NA
"NEWHOPECRKATSR1107NRBLANDS",2018-05-09,"PFUnA",NA,300,"long",NA,NA
"NORTHEASTCRKATSR1100NRNELSON",2018-05-09,"6.2",NA,300,"short",NA,NA
"NORTHEASTCRKATSR1100NRNELSON",2018-05-09,"PFUnA",NA,300,"long",NA,NA
"HAWRIVBELOWJORDANDAMNRMONCURE",2018-05-09,"6.2",NA,300,"short",NA,NA
"HAWRIVBELOWJORDANDAMNRMONCURE",2018-05-09,"PFUnA",NA,300,"long",NA,NA
"JORDANLAKEABOVESTINKINGCREEKNRPITTSBORONC",2018-05-09,"6.2",NA,300,"short",NA,NA
"JORDANLAKEABOVESTINKINGCREEKNRPITTSBORONC",2018-05-09,"PFUnA",NA,300,"long",NA,NA
"JORDANLAKEATMOUTHOFNEWHOPECREEK",2018-05-09,"6.2",NA,300,"short",NA,NA
"JORDANLAKEATMOUTHOFNEWHOPECREEK",2018-05-09,"PFUnA",NA,300,"long",NA,NA
"JORDANLAKENEARFARRINGTONNC",2018-05-09,"6.2",NA,300,"short",NA,NA
"JORDANLAKENEARFARRINGTONNC",2018-05-09,"PFUnA",NA,300,"long",NA,NA
"THIRDFORKCRKATNC54NRDURHAM",2018-05-09,"6.2",NA,290,"short",NA,NA
"THIRDFORKCRKATNC54NRDURHAM",2018-05-09,"PFUnA",NA,290,"long",NA,NA
"PHILSCRKNRCAVANDER",2018-05-09,"6.2",NA,290,"short",NA,NA
"PHILSCRKNRCAVANDER",2018-05-09,"PFUnA",NA,290,"long",NA,NA
"JORDANLAKEATMOUTHOFWHITEOAKCREEKNRSEAFORTH",2018-05-09,"6.2",NA,290,"short",NA,NA
"JORDANLAKEATMOUTHOFWHITEOAKCREEKNRSEAFORTH",2018-05-09,"PFUnA",NA,290,"long",NA,NA
"JORDANLAKEATNARROWSNEARBONSAL",2018-05-09,"6.2",NA,290,"short",NA,NA
"JORDANLAKEATNARROWSNEARBONSAL",2018-05-09,"PFUnA",NA,290,"long",NA,NA
"EnoRiver@SR1004",2018-12-17,"NMeFOSAA",NA,160,"long",NA,NA
"FlatRiver@SR1004",2018-12-17,"NMeFOSAA",NA,160,"long",NA,NA
"KnapofReedsCreek",2018-12-17,"NMeFOSAA",NA,160,"long",NA,NA
"EllerbeCreek@SR1636",2018-12-17,"NMeFOSAA",NA,160,"long",NA,NA
"NeuseRiver@SR2000",2018-12-17,"NMeFOSAA",NA,160,"long",NA,NA
"FallLake@I-85nearNorthsideNC",2018-12-17,"NMeFOSAA",NA,160,"long",NA,NA
"FallsLake@MthLittleLickCreeknearMarker#13",2018-12-17,"NMeFOSAA",NA,160,"long",NA,NA
"FallsLake@MouthLedgeCreeknearCreedmoorNC",2018-12-17,"NMeFOSAA",NA,160,"long",NA,NA
"FallsLake@MouthLedgeCreeknearCreedmoorNC",2018-12-17,"NMeFOSAA",NA,160,"long",NA,NA
"FallsLake@Marker#1nearBayleafNC",2018-12-17,"NMeFOSAA",NA,160,"long",NA,NA
"HAWRIVATSR1713NRBYNUM",2018-05-09,"PFDS",NA,160,"long",NA,NA
"THIRDFORKCRKATNC54NRDURHAM",2018-05-09,"PFDS",NA,160,"long",NA,NA
"NEWHOPECRKATSR1107NRBLANDS",2018-05-09,"PFDS",NA,160,"long",NA,NA
"NORTHEASTCRKATSR1100NRNELSON",2018-05-09,"PFDS",NA,160,"long",NA,NA
"PHILSCRKNRCAVANDER",2018-05-09,"PFDS",NA,160,"long",NA,NA
"MORGANCRKATSR1726NRFARRINGTON",2018-05-09,"PFDS",NA,160,"long",NA,NA
"HAWRIVBELOWJORDANDAMNRMONCURE",2018-05-09,"PFDS",NA,160,"long",NA,NA
"JORDANLAKEABOVESTINKINGCREEKNRPITTSBORONC",2018-05-09,"PFDS",NA,160,"long",NA,NA
