"Site","Sample.Date","X6.2","PFUnA","NMeFOSAA","PFDS","PFNA","PFDoA","PFDA","PFTriA","PFNS","PFBA","X8.2","X4.2","PFHxA","PFPeA","PFOS","FOSA","HFPO.DA","PFBS","PFHpA","PFHpS","PFHxS","PFOA","PFPeS"
"MORGANCRKATSR1726NRFARRINGTON","2018-05-09","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"JORDANLAKEATMOUTHOFMORGANCKNRFARRINGTON","2018-05-09","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"HAWRIVATSR1713NRBYNUM","2018-05-09","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","98","71","NA","NA","NA","NA","53","NA","NA","43","NA"
"NEWHOPECRKATSR1107NRBLANDS","2018-05-09","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NORTHEASTCRKATSR1100NRNELSON","2018-05-09","NA","NA","NA","NA","NA","NA","NA","NA","NA","160","NA","NA","NA","45","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"HAWRIVBELOWJORDANDAMNRMONCURE","2018-05-09","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"JORDANLAKEABOVESTINKINGCREEKNRPITTSBORONC","2018-05-09","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","66","50","NA","NA","NA","NA","57","NA","NA","NA","NA"
"JORDANLAKEATMOUTHOFNEWHOPECREEK","2018-05-09","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"JORDANLAKENEARFARRINGTONNC","2018-05-09","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"THIRDFORKCRKATNC54NRDURHAM","2018-05-09","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"PHILSCRKNRCAVANDER","2018-05-09","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"JORDANLAKEATMOUTHOFWHITEOAKCREEKNRSEAFORTH","2018-05-09","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"JORDANLAKEATNARROWSNEARBONSAL","2018-05-09","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"EnoRiver@SR1004","2018-12-17","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"FlatRiver@SR1004","2018-12-17","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"KnapofReedsCreek","2018-12-17","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"EllerbeCreek@SR1636","2018-12-17","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NeuseRiver@SR2000","2018-12-17","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"FallLake@I-85nearNorthsideNC","2018-12-17","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"FallsLake@MthLittleLickCreeknearMarker#13","2018-12-17","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"FallsLake@MouthLedgeCreeknearCreedmoorNC","2018-12-17","c(NA, NA)","c(NA, NA)","c(NA, NA)","c(NA, NA)","c(NA, NA)","c(NA, NA)","c(NA, NA)","c(NA, NA)","c(NA, NA)","c(NA, NA)","c(NA, NA)","c(NA, NA)","c(NA, NA)","c(NA, NA)","c(NA, NA)","c(NA, NA)","c(NA, NA)","c(NA, NA)","c(NA, NA)","c(NA, NA)","c(NA, NA)","c(NA, NA)","c(NA, NA)"
"FallsLake@Marker#1nearBayleafNC","2018-12-17","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"HarrisLakeatSR1915nrCorinth,NC","2018-05-01","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"BuckhornDamLakeUpstreamofDam","2018-05-01","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"CaneCreekReservoiratDamnrOaks,NC","2018-05-03","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","76","NA","NA","NA","NA","NA","NA","NA","NA"
"UniversityLakeatDamnrChapelHill,NC","2018-05-03","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"JORDANLAKEATMOUTHOFWHITEOAKCREEKNRSEAFORTH","2018-04-11","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"HAWRIVATSR1713NRBYNUM","2018-02-21","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","79","65","NA","NA","NA","NA","62","NA","NA","NA","NA"
"HAWRIVATSR1713NRBYNUM","2018-04-11","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"HAWRIVATSR1713NRBYNUM","2018-06-13","NA","NA","NA","NA","NA","NA","NA","NA","NA","83","NA","NA","350","260","NA","NA","NA","NA","280","NA","NA","46","NA"
