"Site","Analyte","Sample.Date","ppt","lab.qual","chain.length","lat","long"
"City.of.Graham","4.2",2019-09-18,NA,0.21,"short",36.04983302,-79.37369128
"City.of.Randleman","4.2",2019-09-18,NA,1.38,"short",35.80812458,-79.78271331
"City.of.Randleman","6.2",2019-09-18,NA,1.38,"short",35.80812458,-79.78271331
"City.of.Graham","6.2",2019-09-18,1.48,NA,"short",36.04983302,-79.37369128
"City.of.Graham","8.2",2019-09-18,NA,0.21,"long",36.04983302,-79.37369128
"City.of.Randleman","8.2",2019-09-18,NA,1.38,"long",35.80812458,-79.78271331
"City.of.Graham","HFPO.DA",2019-09-18,NA,7.33,"long",36.04983302,-79.37369128
"City.of.Randleman","HFPO.DA",2019-09-18,NA,7.42,"long",35.80812458,-79.78271331
"City.of.Graham","N.EtFOSAA",2019-09-18,NA,0.21,"long",36.04983302,-79.37369128
"City.of.Randleman","N.EtFOSAA",2019-09-18,NA,0.212,"long",35.80812458,-79.78271331
"Wallace.Regional.WWTP","N.EtFOSAA",2019-09-18,NA,0.239,"long",34.73817439,-77.99263394
"Town.of.Rose.Hill.WWTP","N.EtFOSAA",2019-09-18,NA,0.242,"long",34.81715622,-78.00565245
"City.of.Graham","N.MeFOSAA",2019-09-18,NA,0.21,"long",36.04983302,-79.37369128
"City.of.Randleman","N.MeFOSAA",2019-09-18,NA,0.212,"long",35.80812458,-79.78271331
"Wallace.Regional.WWTP","N.MeFOSAA",2019-09-18,NA,0.239,"long",34.73817439,-77.99263394
"Town.of.Rose.Hill.WWTP","N.MeFOSAA",2019-09-18,0.274,NA,"long",34.81715622,-78.00565245
"Town.of.Rose.Hill.WWTP","Nafion.Byproduct.2",2019-09-18,NA,NA,"long",34.81715622,-78.00565245
"City.of.Graham","PFBA",2019-09-18,NA,0.21,"short",36.04983302,-79.37369128
"City.of.Randleman","PFBA",2019-09-18,NA,0.212,"short",35.80812458,-79.78271331
"Wallace.Regional.WWTP","PFBA",2019-09-18,NA,0.239,"short",34.73817439,-77.99263394
"Town.of.Rose.Hill.WWTP","PFBA",2019-09-18,NA,0.242,"short",34.81715622,-78.00565245
"City.of.Graham","PFBS",2019-09-18,NA,0.21,"short",36.04983302,-79.37369128
