"Site","Sample.Date","4.2","6.2","8.2","HFPO.DA","N.EtFOSAA","N.MeFOSAA","Nafion.Byproduct.2","PFBA","PFBS","PFDA","PFDoA","PFDS","PFHpA","PFHpS","PFHxA","PFHxS","PFMOAA","PFMOBA","PFMOPrA","PFNA","PFNS","PFO2HxA","PFO3OA","PFO4DA","PFOA","PFOS","PFOSA","PFPeA","PFPeS","PFPrOPrA","PFTeA","PFTriA","PFUnA","PFHxDA","PFODA","10.2","ADONA","N.EtFOSA","Nafion.Byproduct.1","N.EtFOSE","N.MeFOSA","N.MeFOSE","PF3ONS","PF3OUdS","PFECA.G","TotalPFAS","SumPFOA.PFOS","short.ppt","long.ppt","Type","lat","long"
"City.of.Graham",2019-09-18,NA,1.48,NA,NA,NA,NA,NA,NA,NA,2.14,NA,NA,NA,NA,0.822,NA,NA,NA,NA,2.46,NA,NA,NA,NA,8.37,9.59,NA,NA,NA,NA,NA,0.776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.958,17.96,11.222,41.736,"WWTP",36.04983302,-79.37369128
"City.of.Randleman",2019-09-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.375,NA,NA,3.79,NA,9.82,NA,NA,NA,NA,1.5,NA,NA,NA,NA,7.05,14.7,NA,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162.035,21.75,120.01,42.025,"WWTP",35.80812458,-79.78271331
"Wallace.Regional.WWTP",2019-09-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.48,NA,6.77,NA,NA,NA,NA,0.506,NA,NA,NA,NA,4.9,11.6,NA,299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,354.056,16.5,318.65,35.406,"WWTP",34.73817439,-77.99263394
"Town.of.Rose.Hill.WWTP",2019-09-18,NA,NA,NA,NA,NA,0.274,NA,NA,NA,0.3,0.252,NA,1.56,NA,NA,NA,NA,NA,NA,0.351,NA,NA,NA,NA,4.36,8.74,NA,NA,NA,NA,0.408,0.218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.263,13.1,11.96,33.303,"WWTP",34.81715622,-78.00565245
"Town.of.Burgaw.Collection.System",2019-09-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,0.802,NA,NA,NA,NA,3.95,9.29,NA,NA,NA,NA,1.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.692,13.24,10.4,35.292,"WWTP",34.55726739,-77.92518487
"East.Burlington.WWTP",2019-09-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.39,NA,8,5.1,NA,NA,NA,NA,NA,NA,NA,NA,10.8,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.59,23.3,23.79,46.8,"WWTP",36.09382721,-79.37771112
"South.Burlington.WWTP",2019-09-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7,NA,NA,24.7,NA,73.1,8.92,NA,NA,NA,6.64,NA,NA,NA,NA,29.7,23.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200.26,53.4,108.2,92.06,"WWTP",36.02454813,-79.36944141
"Fayetteville-Cross.Creek.WWTP",2019-09-17,NA,NA,NA,NA,NA,NA,NA,12.5,4.3,1.72,0.05,NA,14.65,0.44,35.25,20.15,NA,NA,NA,1.67,NA,NA,NA,NA,17.1,28.3,NA,26.55,1.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192.52,45.4,104.69,87.83,"WWTP",35.05953494,-78.86003082
"Fayetteville-Rockfish.Creek.WWTP",2019-09-17,NA,NA,NA,NA,NA,NA,NA,5.75,3.79,1.15,NA,NA,11.35,NA,20.2,6.33,NA,NA,NA,0.57,NA,NA,NA,NA,8.11,7.7,NA,24,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118.51,15.81,76.25,42.26,"WWTP",34.96435311,-78.83344791
"Greensboro-TZ.Osborne.WRF",2019-09-17,NA,NA,NA,NA,NA,NA,NA,13,25,0.8,NA,NA,7.4,NA,18,15.3,NA,NA,NA,NA,NA,NA,NA,NA,14.9,47.1,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190.3,62,93.8,96.5,"WWTP",36.09864301,-79.68893648
