Location,Site,Lab,Sample.Date,Analyte,ppt,lab.qual
B3900000,MORGANCRKATSR1726NRFARRINGTON,EPAAthens,5/9/2018,6.2,,310
B3900000,MORGANCRKATSR1726NRFARRINGTON,EPAAthens,5/9/2018,PFUnA,,310
CPF086C,JORDANLAKEATMOUTHOFMORGANCKNRFARRINGTON,EPAAthens,5/9/2018,6.2,,310
CPF086C,JORDANLAKEATMOUTHOFMORGANCKNRFARRINGTON,EPAAthens,5/9/2018,PFUnA,,310
B2100000,HAWRIVATSR1713NRBYNUM,EPAAthens,5/9/2018,6.2,,300
B2100000,HAWRIVATSR1713NRBYNUM,EPAAthens,5/9/2018,PFUnA,,300
B3040000,NEWHOPECRKATSR1107NRBLANDS,EPAAthens,5/9/2018,6.2,,300
B3040000,NEWHOPECRKATSR1107NRBLANDS,EPAAthens,5/9/2018,PFUnA,,300
B3660000,NORTHEASTCRKATSR1100NRNELSON,EPAAthens,5/9/2018,6.2,,300
B3660000,NORTHEASTCRKATSR1100NRNELSON,EPAAthens,5/9/2018,PFUnA,,300
B4050000,HAWRIVBELOWJORDANDAMNRMONCURE,EPAAthens,5/9/2018,6.2,,300
B4050000,HAWRIVBELOWJORDANDAMNRMONCURE,EPAAthens,5/9/2018,PFUnA,,300
CPF055C,JORDANLAKEABOVESTINKINGCREEKNRPITTSBORONC,EPAAthens,5/9/2018,6.2,,300
CPF055C,JORDANLAKEABOVESTINKINGCREEKNRPITTSBORONC,EPAAthens,5/9/2018,PFUnA,,300
CPF081A1C,JORDANLAKEATMOUTHOFNEWHOPECREEK,EPAAthens,5/9/2018,6.2,,300
CPF081A1C,JORDANLAKEATMOUTHOFNEWHOPECREEK,EPAAthens,5/9/2018,PFUnA,,300
CPF086F,JORDANLAKENEARFARRINGTONNC,EPAAthens,5/9/2018,6.2,,300
CPF086F,JORDANLAKENEARFARRINGTONNC,EPAAthens,5/9/2018,PFUnA,,300
B3025000,THIRDFORKCRKATNC54NRDURHAM,EPAAthens,5/9/2018,6.2,,290
B3025000,THIRDFORKCRKATNC54NRDURHAM,EPAAthens,5/9/2018,PFUnA,,290
B3750000,PHILSCRKNRCAVANDER,EPAAthens,5/9/2018,6.2,,290
B3750000,PHILSCRKNRCAVANDER,EPAAthens,5/9/2018,PFUnA,,290
CPF087D,JORDANLAKEATMOUTHOFWHITEOAKCREEKNRSEAFORTH,EPAAthens,5/9/2018,6.2,,290
CPF087D,JORDANLAKEATMOUTHOFWHITEOAKCREEKNRSEAFORTH,EPAAthens,5/9/2018,PFUnA,,290
CPF089,JORDANLAKEATNARROWSNEARBONSAL,EPAAthens,5/9/2018,6.2,,290
CPF089,JORDANLAKEATNARROWSNEARBONSAL,EPAAthens,5/9/2018,PFUnA,,290
J0810000,EnoRiver@SR1004,EPAAthens,12/17/2018,NMeFOSAA,,160
J1100000,FlatRiver@SR1004,EPAAthens,12/17/2018,NMeFOSAA,,160
J1210000,KnapofReedsCreek,EPAAthens,12/17/2018,NMeFOSAA,,160
J1330000,EllerbeCreek@SR1636,EPAAthens,12/17/2018,NMeFOSAA,,160
J1890000,NeuseRiver@SR2000,EPAAthens,12/17/2018,NMeFOSAA,,160
NEU013,FallLake@I-85nearNorthsideNC,EPAAthens,12/17/2018,NMeFOSAA,,160
NEU0171B,FallsLake@MthLittleLickCreeknearMarker#13,EPAAthens,12/17/2018,NMeFOSAA,,160
NEU018E,FallsLake@MouthLedgeCreeknearCreedmoorNC,EPAAthens,12/17/2018,NMeFOSAA,,160
NEU018E,FallsLake@MouthLedgeCreeknearCreedmoorNC,EPAAthens,12/17/2018,NMeFOSAA,,160
NEU020D,FallsLake@Marker#1nearBayleafNC,EPAAthens,12/17/2018,NMeFOSAA,,160
B2100000,HAWRIVATSR1713NRBYNUM,EPAAthens,5/9/2018,PFDS,,160
B3025000,THIRDFORKCRKATNC54NRDURHAM,EPAAthens,5/9/2018,PFDS,,160
B3040000,NEWHOPECRKATSR1107NRBLANDS,EPAAthens,5/9/2018,PFDS,,160
B3660000,NORTHEASTCRKATSR1100NRNELSON,EPAAthens,5/9/2018,PFDS,,160
B3750000,PHILSCRKNRCAVANDER,EPAAthens,5/9/2018,PFDS,,160
B3900000,MORGANCRKATSR1726NRFARRINGTON,EPAAthens,5/9/2018,PFDS,,160
B4050000,HAWRIVBELOWJORDANDAMNRMONCURE,EPAAthens,5/9/2018,PFDS,,160
CPF055C,JORDANLAKEABOVESTINKINGCREEKNRPITTSBORONC,EPAAthens,5/9/2018,PFDS,,160
CPF081A1C,JORDANLAKEATMOUTHOFNEWHOPECREEK,EPAAthens,5/9/2018,PFDS,,160
CPF086C,JORDANLAKEATMOUTHOFMORGANCKNRFARRINGTON,EPAAthens,5/9/2018,PFDS,,160
CPF086F,JORDANLAKENEARFARRINGTONNC,EPAAthens,5/9/2018,PFDS,,160
CPF126A6,"HarrisLakeatSR1915nrCorinth,NC",EPAAthens,5/1/2018,PFNA,,160
CPFBDL1,BuckhornDamLakeUpstreamofDam,EPAAthens,5/1/2018,PFNA,,160
CPFCCR6,"CaneCreekReservoiratDamnrOaks,NC",EPAAthens,5/3/2018,PFNA,,160
CPFUL6,"UniversityLakeatDamnrChapelHill,NC",EPAAthens,5/3/2018,PFNA,,160
CPF087D,JORDANLAKEATMOUTHOFWHITEOAKCREEKNRSEAFORTH,EPAAthens,4/11/2018,NMeFOSAA,,160
CPFUL6,"UniversityLakeatDamnrChapelHill,NC",EPAAthens,5/3/2018,PFDoA,,160
B2100000,HAWRIVATSR1713NRBYNUM,EPAAthens,2/21/2018,PFDoA,,160
B2100000,HAWRIVATSR1713NRBYNUM,EPAAthens,4/11/2018,6.2,,160
B2100000,HAWRIVATSR1713NRBYNUM,EPAAthens,4/11/2018,NMeFOSAA,,160
B2100000,HAWRIVATSR1713NRBYNUM,EPAAthens,4/11/2018,PFDA,,160
B2100000,HAWRIVATSR1713NRBYNUM,EPAAthens,5/9/2018,PFTriA,,160
B2100000,HAWRIVATSR1713NRBYNUM,EPAAthens,6/13/2018,PFDA,,160
B3025000,THIRDFORKCRKATNC54NRDURHAM,EPAAthens,2/21/2018,PFDoA,,160
B3025000,THIRDFORKCRKATNC54NRDURHAM,EPAAthens,4/11/2018,6.2,,160
B3025000,THIRDFORKCRKATNC54NRDURHAM,EPAAthens,4/11/2018,NMeFOSAA,,160
B3025000,THIRDFORKCRKATNC54NRDURHAM,EPAAthens,4/11/2018,PFDA,,160
B3025000,THIRDFORKCRKATNC54NRDURHAM,EPAAthens,5/9/2018,PFTriA,,160
B3025000,THIRDFORKCRKATNC54NRDURHAM,EPAAthens,6/13/2018,PFDA,,160
B3040000,NEWHOPECRKATSR1107NRBLANDS,EPAAthens,2/21/2018,PFDoA,,160
B3040000,NEWHOPECRKATSR1107NRBLANDS,EPAAthens,4/11/2018,6.2,,160
B3040000,NEWHOPECRKATSR1107NRBLANDS,EPAAthens,4/11/2018,NMeFOSAA,,160
B3040000,NEWHOPECRKATSR1107NRBLANDS,EPAAthens,4/11/2018,PFDA,,160
B3040000,NEWHOPECRKATSR1107NRBLANDS,EPAAthens,5/9/2018,PFTriA,,160
B3040000,NEWHOPECRKATSR1107NRBLANDS,EPAAthens,6/13/2018,PFDA,,160
B3660000,NORTHEASTCRKATSR1100NRNELSON,EPAAthens,2/21/2018,PFDoA,,160
B3660000,NORTHEASTCRKATSR1100NRNELSON,EPAAthens,4/11/2018,6.2,,160
B3660000,NORTHEASTCRKATSR1100NRNELSON,EPAAthens,4/11/2018,NMeFOSAA,,160
B3660000,NORTHEASTCRKATSR1100NRNELSON,EPAAthens,4/11/2018,PFDA,,160
B3660000,NORTHEASTCRKATSR1100NRNELSON,EPAAthens,5/9/2018,PFTriA,,160
B3660000,NORTHEASTCRKATSR1100NRNELSON,EPAAthens,6/13/2018,PFDA,,160
B3750000,PHILSCRKNRCAVANDER,EPAAthens,2/21/2018,PFDoA,,160
B3750000,PHILSCRKNRCAVANDER,EPAAthens,4/11/2018,6.2,,160
B3750000,PHILSCRKNRCAVANDER,EPAAthens,4/11/2018,NMeFOSAA,,160
B3750000,PHILSCRKNRCAVANDER,EPAAthens,4/11/2018,PFDA,,160
B3750000,PHILSCRKNRCAVANDER,EPAAthens,5/9/2018,PFTriA,,160
B3750000,PHILSCRKNRCAVANDER,EPAAthens,6/13/2018,PFDA,,160
B3900000,MORGANCRKATSR1726NRFARRINGTON,EPAAthens,2/21/2018,PFDoA,,160
B3900000,MORGANCRKATSR1726NRFARRINGTON,EPAAthens,4/11/2018,6.2,,160
B3900000,MORGANCRKATSR1726NRFARRINGTON,EPAAthens,4/11/2018,NMeFOSAA,,160
B3900000,MORGANCRKATSR1726NRFARRINGTON,EPAAthens,4/11/2018,PFDA,,160
B3900000,MORGANCRKATSR1726NRFARRINGTON,EPAAthens,5/9/2018,PFTriA,,160
B3900000,MORGANCRKATSR1726NRFARRINGTON,EPAAthens,6/13/2018,PFDA,,160
B4050000,HAWRIVBELOWJORDANDAMNRMONCURE,EPAAthens,2/21/2018,PFDoA,,160
B4050000,HAWRIVBELOWJORDANDAMNRMONCURE,EPAAthens,4/11/2018,6.2,,160
B4050000,HAWRIVBELOWJORDANDAMNRMONCURE,EPAAthens,4/11/2018,NMeFOSAA,,160
B4050000,HAWRIVBELOWJORDANDAMNRMONCURE,EPAAthens,4/11/2018,PFDA,,160
B4050000,HAWRIVBELOWJORDANDAMNRMONCURE,EPAAthens,5/9/2018,PFTriA,,160
B4050000,HAWRIVBELOWJORDANDAMNRMONCURE,EPAAthens,6/13/2018,PFDA,,160
CPF055C,JORDANLAKEABOVESTINKINGCREEKNRPITTSBORONC,EPAAthens,2/21/2018,PFDoA,,160
CPF055C,JORDANLAKEABOVESTINKINGCREEKNRPITTSBORONC,EPAAthens,5/9/2018,PFTriA,,160
CPF055C,JORDANLAKEABOVESTINKINGCREEKNRPITTSBORONC,EPAAthens,6/13/2018,PFDA,,160
CPF081A1C,JORDANLAKEATMOUTHOFNEWHOPECREEK,EPAAthens,2/21/2018,PFDoA,,160
CPF081A1C,JORDANLAKEATMOUTHOFNEWHOPECREEK,EPAAthens,5/9/2018,PFTriA,,160
CPF086C,JORDANLAKEATMOUTHOFMORGANCKNRFARRINGTON,EPAAthens,5/9/2018,PFTriA,,160
CPF086C,JORDANLAKEATMOUTHOFMORGANCKNRFARRINGTON,EPAAthens,6/13/2018,PFDA,,160
CPF086F,JORDANLAKENEARFARRINGTONNC,EPAAthens,2/21/2018,PFDoA,,160
CPF086F,JORDANLAKENEARFARRINGTONNC,EPAAthens,4/11/2018,6.2,,160
CPF086F,JORDANLAKENEARFARRINGTONNC,EPAAthens,4/11/2018,NMeFOSAA,,160
CPF086F,JORDANLAKENEARFARRINGTONNC,EPAAthens,4/11/2018,PFDA,,160
CPF086F,JORDANLAKENEARFARRINGTONNC,EPAAthens,5/9/2018,PFTriA,,160
CPF086F,JORDANLAKENEARFARRINGTONNC,EPAAthens,6/13/2018,PFDA,,160
CPF087D,JORDANLAKEATMOUTHOFWHITEOAKCREEKNRSEAFORTH,EPAAthens,2/21/2018,PFDoA,,160
CPF087D,JORDANLAKEATMOUTHOFWHITEOAKCREEKNRSEAFORTH,EPAAthens,4/11/2018,6.2,,160
CPF087D,JORDANLAKEATMOUTHOFWHITEOAKCREEKNRSEAFORTH,EPAAthens,4/11/2018,PFDA,,160
CPF087D,JORDANLAKEATMOUTHOFWHITEOAKCREEKNRSEAFORTH,EPAAthens,6/13/2018,PFDA,,160
CPF089,JORDANLAKEATNARROWSNEARBONSAL,EPAAthens,2/21/2018,PFDoA,,160
CPF089,JORDANLAKEATNARROWSNEARBONSAL,EPAAthens,4/11/2018,6.2,,160
CPF089,JORDANLAKEATNARROWSNEARBONSAL,EPAAthens,4/11/2018,NMeFOSAA,,160
CPF089,JORDANLAKEATNARROWSNEARBONSAL,EPAAthens,4/11/2018,PFDA,,160
CPF089,JORDANLAKEATNARROWSNEARBONSAL,EPAAthens,6/13/2018,PFDA,,160
CPF113R,"CarthageCityLakeatDamNRCarthage,NC",EPAAthens,6/6/2018,PFDA,,160
CPF126A6,"HarrisLakeatSR1915nrCorinth,NC",EPAAthens,5/1/2018,PFDoA,,160
CPF126A6,"HarrisLakeatSR1915nrCorinth,NC",EPAAthens,5/1/2018,PFNS,,160
CPF138B,"GlenvilleLakeatDamNRFayetteville,NC",EPAAthens,6/6/2018,PFDA,,160
CPFBDL1,BuckhornDamLakeUpstreamofDam,EPAAthens,5/1/2018,PFDoA,,160
CPFBDL1,BuckhornDamLakeUpstreamofDam,EPAAthens,5/1/2018,PFNS,,160
CPFCCR6,"CaneCreekReservoiratDamnrOaks,NC",EPAAthens,5/3/2018,PFDoA,,160
CPFCCR6,"CaneCreekReservoiratDamnrOaks,NC",EPAAthens,5/3/2018,PFNS,,160
CPFUL6,"UniversityLakeatDamnrChapelHill,NC",EPAAthens,5/3/2018,PFNS,,160
J0810000,EnoRiver@SR1004,EPAAthens,7/26/2018,PFBA,,160
J1100000,FlatRiver@SR1004,EPAAthens,7/26/2018,PFBA,,160
J1210000,KnapofReedsCreek,EPAAthens,7/26/2018,PFBA,,160
J1330000,EllerbeCreek@SR1636,EPAAthens,7/26/2018,PFBA,,160
J1890000,NeuseRiver@SR2000,EPAAthens,7/26/2018,PFBA,,160
NEU013,FallLake@I-85nearNorthsideNC,EPAAthens,7/26/2018,PFBA,,160
NEU0171B,FallsLake@MthLittleLickCreeknearMarker#13,EPAAthens,7/26/2018,PFBA,,160
NEU018E,FallsLake@MouthLedgeCreeknearCreedmoorNC,EPAAthens,7/26/2018,PFBA,,160
NEU019L,FallsLake@ChannelMarker#6nearBayleafNC,EPAAthens,7/26/2018,PFBA,,160
NEU020D,FallsLake@Marker#1nearBayleafNC,EPAAthens,7/26/2018,PFBA,,160
