Site,Analyte,Sample.Date,ppt,lab.qual
City.of.Graham,4.2,9/18/2019,,0.21
City.of.Randleman,4.2,9/18/2019,,1.38
City.of.Randleman,6.2,9/18/2019,,1.38
City.of.Graham,6.2,9/18/2019,1.48,
City.of.Graham,8.2,9/18/2019,,0.21
City.of.Randleman,8.2,9/18/2019,,1.38
City.of.Graham,HFPO.DA,9/18/2019,,7.33
City.of.Randleman,HFPO.DA,9/18/2019,,7.42
City.of.Graham,N.EtFOSAA,9/18/2019,,0.21
City.of.Randleman,N.EtFOSAA,9/18/2019,,0.212
Wallace.Regional.WWTP,N.EtFOSAA,9/18/2019,,0.239
Town.of.Rose.Hill.WWTP,N.EtFOSAA,9/18/2019,,0.242
City.of.Graham,N.MeFOSAA,9/18/2019,,0.21
City.of.Randleman,N.MeFOSAA,9/18/2019,,0.212
Wallace.Regional.WWTP,N.MeFOSAA,9/18/2019,,0.239
Town.of.Rose.Hill.WWTP,N.MeFOSAA,9/18/2019,0.274,
Town.of.Rose.Hill.WWTP,Nafion.Byproduct.2,9/18/2019,,
City.of.Graham,PFBA,9/18/2019,,0.21
City.of.Randleman,PFBA,9/18/2019,,0.212
Wallace.Regional.WWTP,PFBA,9/18/2019,,0.239
Town.of.Rose.Hill.WWTP,PFBA,9/18/2019,,0.242
City.of.Graham,PFBS,9/18/2019,,0.21
City.of.Randleman,PFBS,9/18/2019,,0.212
Wallace.Regional.WWTP,PFBS,9/18/2019,,0.239
Town.of.Rose.Hill.WWTP,PFBS,9/18/2019,,0.242
Wallace.Regional.WWTP,PFDA,9/18/2019,,0.239
City.of.Graham,PFDA,9/18/2019,2.14,
City.of.Randleman,PFDA,9/18/2019,0.375,
Town.of.Rose.Hill.WWTP,PFDA,9/18/2019,0.3,
City.of.Graham,PFDoA,9/18/2019,,0.21
City.of.Randleman,PFDoA,9/18/2019,,0.212
Wallace.Regional.WWTP,PFDoA,9/18/2019,,0.239
Town.of.Rose.Hill.WWTP,PFDoA,9/18/2019,0.252,
City.of.Graham,PFDS,9/18/2019,,0.21
City.of.Randleman,PFDS,9/18/2019,,0.212
Wallace.Regional.WWTP,PFDS,9/18/2019,,0.239
Town.of.Rose.Hill.WWTP,PFDS,9/18/2019,,0.242
City.of.Graham,PFHpA,9/18/2019,,0.21
City.of.Randleman,PFHpA,9/18/2019,3.79,
Town.of.Rose.Hill.WWTP,PFHpA,9/18/2019,1.56,
Wallace.Regional.WWTP,PFHpA,9/18/2019,2.48,
City.of.Graham,PFHpS,9/18/2019,,0.21
City.of.Randleman,PFHpS,9/18/2019,,0.212
Wallace.Regional.WWTP,PFHpS,9/18/2019,,0.239
Town.of.Rose.Hill.WWTP,PFHpS,9/18/2019,,0.242
Town.of.Rose.Hill.WWTP,PFHxA,9/18/2019,,0.242
City.of.Graham,PFHxA,9/18/2019,0.822,
City.of.Randleman,PFHxA,9/18/2019,9.82,
Wallace.Regional.WWTP,PFHxA,9/18/2019,6.77,
City.of.Graham,PFHxS,9/18/2019,,0.21
City.of.Randleman,PFHxS,9/18/2019,,0.212
Wallace.Regional.WWTP,PFHxS,9/18/2019,,0.239
Town.of.Rose.Hill.WWTP,PFHxS,9/18/2019,,0.242
Town.of.Rose.Hill.WWTP,PFMOAA,9/18/2019,,
Town.of.Rose.Hill.WWTP,PFMOBA,9/18/2019,,
Town.of.Rose.Hill.WWTP,PFMOPrA,9/18/2019,,
City.of.Graham,PFNA,9/18/2019,2.46,
City.of.Randleman,PFNA,9/18/2019,1.5,
Town.of.Rose.Hill.WWTP,PFNA,9/18/2019,0.351,
Wallace.Regional.WWTP,PFNA,9/18/2019,0.506,
City.of.Graham,PFNS,9/18/2019,,0.21
City.of.Randleman,PFNS,9/18/2019,,0.212
Town.of.Rose.Hill.WWTP,PFNS,9/18/2019,,0.24
Wallace.Regional.WWTP,PFNS,9/18/2019,,0.24
Town.of.Rose.Hill.WWTP,PFO2HxA,9/18/2019,,
Town.of.Rose.Hill.WWTP,PFO3OA,9/18/2019,,
Town.of.Rose.Hill.WWTP,PFO4DA,9/18/2019,,
City.of.Graham,PFOA,9/18/2019,8.37,
City.of.Randleman,PFOA,9/18/2019,7.05,
Town.of.Rose.Hill.WWTP,PFOA,9/18/2019,4.36,
Wallace.Regional.WWTP,PFOA,9/18/2019,4.9,
City.of.Graham,PFOS,9/18/2019,9.59,
City.of.Randleman,PFOS,9/18/2019,14.7,
Town.of.Rose.Hill.WWTP,PFOS,9/18/2019,8.74,
Wallace.Regional.WWTP,PFOS,9/18/2019,11.6,
